step,train_loss,eval_rmse,grad_norm,step_time
180,1.442235e-02,8.353096e-02,3.989264e-04,0.046
181,1.378953e-02,,1.110643e-03,0.046
182,1.591530e-02,,9.740835e-04,0.050
183,1.240435e-02,,4.041651e-04,0.046
184,8.279200e-03,,2.116396e-03,0.043
185,1.640007e-02,,1.410288e-03,0.046
186,1.574782e-02,,4.487698e-04,0.047
187,1.389240e-02,,5.095071e-04,0.051
188,1.482313e-02,,1.911364e-03,0.046
189,1.156804e-02,,2.991854e-03,0.047
190,1.207627e-02,8.418010e-02,5.660521e-04,0.045
191,1.443443e-02,,8.556231e-04,0.047
192,9.632095e-03,,7.220922e-04,0.046
193,1.479375e-02,,2.878545e-04,0.046
194,1.370245e-02,,5.012921e-04,0.046
195,1.367637e-02,,1.214227e-03,0.046
196,1.471756e-02,,4.059707e-04,0.047
197,1.393302e-02,,7.137604e-04,0.047
198,1.789363e-02,,2.787032e-03,0.047
199,1.318107e-02,,6.754902e-04,0.046
200,1.211515e-02,8.457793e-02,7.530073e-04,0.045
201,1.287290e-02,,1.133885e-03,0.048
202,1.559671e-02,,1.006788e-03,0.046
203,1.309940e-02,,1.861160e-03,0.048
204,1.655107e-02,,9.931317e-04,0.048
205,1.480142e-02,,5.032404e-04,0.046
206,1.744067e-02,,6.285706e-04,0.047
207,1.665446e-02,,6.939883e-04,0.046
208,1.466379e-02,,8.654722e-04,0.047
209,1.324068e-02,,2.825227e-04,0.044
210,1.118170e-02,8.496366e-02,9.964808e-04,0.043
211,1.744695e-02,,1.078115e-03,0.048
212,1.392739e-02,,2.195624e-03,0.046
213,1.422661e-02,,8.443414e-04,0.047
214,1.658211e-02,,5.591921e-04,0.049
215,1.492760e-02,,3.334839e-04,0.047
216,1.353814e-02,,1.586771e-03,0.046
217,1.647903e-02,,5.213356e-04,0.046
218,1.347986e-02,,9.066792e-04,0.047
219,1.367423e-02,,1.847746e-03,0.048
220,1.198795e-02,8.439529e-02,1.356663e-03,0.050
221,1.204130e-02,,1.437578e-03,0.048
222,1.073952e-02,,1.424312e-03,0.043
223,1.599966e-02,,2.455835e-04,0.048
224,1.654838e-02,,9.582515e-04,0.047
225,1.169037e-02,,1.384161e-03,0.049
226,1.699988e-02,,7.846694e-04,0.047
227,1.879200e-02,,1.838500e-03,0.044
228,8.778217e-03,,9.888494e-04,0.045
229,1.698257e-02,,1.764738e-03,0.045
230,1.534010e-02,8.325943e-02,4.051962e-04,0.046
231,9.002155e-03,,1.272324e-03,0.047
232,1.114020e-02,,1.803927e-04,0.047
233,1.752218e-02,,2.698541e-03,0.049
234,1.204208e-02,,6.793138e-04,0.046
235,1.079566e-02,,1.483855e-03,0.045
236,1.279344e-02,,6.205157e-04,0.048
237,1.946677e-02,,9.740933e-04,0.045
238,1.332311e-02,,5.365372e-04,0.047
239,1.150694e-02,,9.261375e-04,0.046
240,1.362976e-02,8.352999e-02,3.033486e-04,0.051
241,1.022766e-02,,1.194850e-03,0.048
242,9.107467e-03,,1.071405e-03,0.044
243,1.570630e-02,,1.077819e-03,0.045
244,8.715173e-03,,1.459402e-03,0.046
245,1.346872e-02,,7.289240e-04,0.047
246,1.574751e-02,,9.672575e-04,0.045
247,8.760916e-03,,2.539602e-03,0.047
248,1.368672e-02,,4.839254e-04,0.048
249,1.682232e-02,,1.546381e-03,0.048
250,1.210316e-02,8.306455e-02,2.378534e-04,0.049
251,1.658633e-02,,1.461759e-03,0.047
252,1.231167e-02,,7.051699e-04,0.044
253,1.126890e-02,,7.630149e-04,0.048
254,1.299656e-02,,3.669201e-04,0.050
255,1.172011e-02,,4.529576e-04,0.048
256,1.230181e-02,,9.049901e-04,0.051
257,1.409358e-02,,4.296103e-04,0.047
258,1.608991e-02,,3.261110e-04,0.047
259,1.318852e-02,,5.859311e-04,0.046
260,1.683157e-02,8.346438e-02,6.225791e-04,0.048
261,1.475453e-02,,3.889382e-04,0.049
262,1.817403e-02,,1.835233e-03,0.046
263,1.395686e-02,,7.675996e-04,0.046
264,1.746052e-02,,1.162842e-03,0.047
265,1.571504e-02,,4.479180e-04,0.050
266,1.079357e-02,,9.961773e-04,0.050
267,1.221385e-02,,1.464659e-03,0.049
268,9.577876e-03,,1.942304e-03,0.044
269,1.473842e-02,,2.467713e-04,0.046
270,1.779793e-02,8.393053e-02,2.039442e-03,0.044
271,1.190119e-02,,5.829238e-04,0.050
272,1.175253e-02,,2.035241e-03,0.046
273,1.440531e-02,,8.982476e-04,0.047
274,1.157253e-02,,4.512440e-04,0.047
275,1.542533e-02,,3.301615e-04,0.049
276,1.285740e-02,,1.122142e-03,0.052
277,1.124452e-02,,1.651466e-03,0.049
278,1.715073e-02,,4.444850e-04,0.049
279,1.282898e-02,,4.167472e-04,0.049
280,1.601285e-02,8.310539e-02,1.525552e-03,0.048
281,1.035765e-02,,3.533927e-04,0.047
282,1.546591e-02,,6.269959e-04,0.046
283,1.725219e-02,,1.468157e-03,0.047
284,1.259993e-02,,3.309832e-04,0.047
285,1.172443e-02,,6.268017e-04,0.052
286,1.396824e-02,,5.369260e-04,0.048
287,1.534337e-02,,3.342220e-04,0.045
288,1.776328e-02,,2.008350e-03,0.047
289,1.247513e-02,,4.365298e-04,0.051
290,1.474346e-02,8.353215e-02,6.487148e-04,0.048
291,1.783399e-02,,9.849572e-04,0.048
292,1.599485e-02,,1.021519e-03,0.047
293,1.352772e-02,,3.719836e-04,0.048
294,1.166485e-02,,3.893651e-04,0.047
295,1.377920e-02,,5.595729e-04,0.047
296,1.632187e-02,,6.842322e-04,0.049
297,1.686156e-02,,6.107369e-04,0.048
298,1.731382e-02,,9.891342e-04,0.045
299,1.501656e-02,,3.250345e-04,0.049
300,1.602065e-02,8.453305e-02,6.495481e-04,0.046
301,1.157288e-02,,2.095568e-03,0.047
302,1.791578e-02,,8.221930e-04,0.047
303,1.283124e-02,,5.620856e-04,0.051
304,1.441995e-02,,2.592617e-04,0.046
305,1.579387e-02,,4.183763e-04,0.047
306,1.708357e-02,,4.341117e-04,0.049
307,1.106592e-02,,1.653650e-03,0.046
308,1.073772e-02,,1.594027e-03,0.049
309,1.710513e-02,,7.104506e-04,0.048
310,1.586833e-02,8.404988e-02,4.610766e-04,0.047
311,1.200801e-02,,9.731126e-04,0.048
312,1.303085e-02,,1.367569e-03,0.051
313,1.577509e-02,,9.454759e-04,0.051
314,1.380147e-02,,5.375672e-04,0.048
315,1.355710e-02,,3.098824e-04,0.050
316,1.343435e-02,,2.464040e-03,0.048
317,1.544529e-02,,4.109071e-04,0.048
318,1.197368e-02,,2.831808e-04,0.050
319,1.448417e-02,,1.013220e-03,0.052
320,1.682637e-02,8.321724e-02,2.011459e-03,0.050
321,1.115333e-02,,1.209800e-03,0.046
322,1.150519e-02,,4.040152e-04,0.046
323,1.466036e-02,,4.884706e-04,0.048
324,1.309860e-02,,1.868530e-03,0.047
325,1.869462e-02,,1.839183e-03,0.048
326,1.249418e-02,,8.779952e-04,0.049
327,1.279192e-02,,2.935846e-04,0.049
328,1.212778e-02,,2.783281e-04,0.049
